ActivePower,ReactivePower,Voltage,Kitchen,Laundry,HVAC
1209.1760000000002,34.922,1209.1760000000002,0.0,546.0,4926.0
3390.46,226.00599999999997,3390.46,2033.0,4187.0,13341.0
2203.826,161.792,2203.826,1063.0,2621.0,14018.0
1666.194,150.942,1666.194,839.0,7602.0,6197.0
2225.748,160.998,2225.748,0.0,2648.0,14063.0
1716.624,144.166,1716.624,1765.0,2623.0,10421.0
2341.3379999999997,186.90599999999998,2341.3379999999997,3151.0,350.0,11131.0
4773.3859999999995,221.47,4773.3859999999995,2669.0,425.0,14726.0
2550.012,149.9,2550.012,1703.0,5082.0,6891.0
2743.12,240.28,2743.12,6620.0,1962.0,5795.0
3934.11,165.102,3934.11,1086.0,2533.0,14979.0
1528.76,178.90200000000002,1528.76,0.0,314.0,6976.0
2072.638,208.87599999999998,2072.638,2207.0,4419.0,9176.0
3174.3920000000003,196.394,3174.3920000000003,1252.0,5162.0,11329.0
2789.302,311.928,2789.302,3072.0,7891.0,12480.0
3494.196,150.852,3494.196,0.0,347.0,6502.0
2749.0040000000004,148.166,2749.0040000000004,0.0,352.0,5880.0
1269.236,190.342,1269.236,0.0,348.0,6562.0
1014.054,196.72799999999998,1014.054,0.0,344.0,4765.0
3259.4120000000003,202.30200000000002,3259.4120000000003,1051.0,7597.0,10896.0
2713.364,173.15400000000002,2713.364,1483.0,379.0,7602.0
1508.378,192.188,1508.378,1336.0,402.0,5678.0
2447.62,246.074,2447.62,1987.0,8177.0,12810.0
2241.36,207.56799999999998,2241.36,0.0,467.0,17547.0
1869.0539999999999,207.248,1869.0539999999999,1688.0,4267.0,9790.0
2154.8,228.452,2154.8,771.0,4456.0,11012.0
2255.194,230.02,2255.194,1378.0,2170.0,12415.0
1461.296,199.14,1461.296,0.0,439.0,8276.0
3186.8140000000003,290.736,3186.8140000000003,7806.0,2975.0,11341.0
3007.816,227.12,3007.816,1777.0,4215.0,12975.0
2148.678,174.86,2148.678,1099.0,2239.0,15163.0
1686.404,185.428,1686.404,2063.0,644.0,6583.0
2847.688,200.752,2847.688,3500.0,5737.0,16064.0
1821.4620000000002,177.71200000000002,1821.4620000000002,0.0,336.0,13491.0
1480.44,170.05200000000002,1480.44,2103.0,330.0,7172.0
3133.732,238.362,3133.732,4324.0,5222.0,11440.0
3407.262,229.736,3407.262,10346.0,5567.0,11599.0
2180.494,168.642,2180.494,1054.0,2983.0,11361.0
1777.64,138.28,1777.64,0.0,1064.0,5061.0
2987.8540000000003,178.06,2987.8540000000003,3464.0,2480.0,11744.0
1596.344,144.16,1596.344,1158.0,262.0,11239.0
1617.9720000000002,142.90200000000002,1617.9720000000002,1163.0,261.0,8238.0
2044.0720000000001,148.24200000000002,2044.0720000000001,1170.0,3896.0,12374.0
3090.204,153.352,3090.204,3466.0,3997.0,12045.0
1982.664,165.696,1982.664,1123.0,294.0,15254.0
1707.7979999999998,180.93400000000003,1707.7979999999998,1123.0,1424.0,8149.0
2363.752,185.988,2363.752,0.0,5950.0,15052.0
1824.76,150.264,1824.76,1170.0,386.0,13145.0
1667.736,139.542,1667.736,0.0,356.0,11338.0
4029.722,245.824,4029.722,4746.0,4573.0,17834.0
3595.94,186.49400000000003,3595.94,3391.0,4597.0,14472.0
1645.28,147.22799999999998,1645.28,896.0,2564.0,7849.0
1273.48,142.566,1273.48,1185.0,405.0,4517.0
2328.018,177.708,2328.018,3299.0,3513.0,11986.0
1801.414,138.89600000000002,1801.414,2226.0,366.0,10157.0
1620.1979999999999,158.066,1620.1979999999999,0.0,3045.0,9770.0
2829.328,192.97400000000002,2829.328,5071.0,2831.0,14405.0
3571.228,204.31400000000002,3571.228,2430.0,4765.0,13114.0
1877.61,136.704,1877.61,2227.0,399.0,11517.0
1414.546,134.678,1414.546,0.0,2828.0,6256.0
2498.672,202.50599999999997,2498.672,3295.0,3793.0,11579.0
1985.346,165.96400000000003,1985.346,0.0,2363.0,14028.0
1702.5279999999998,151.686,1702.5279999999998,1148.0,859.0,8689.0
2076.9120000000003,238.968,2076.9120000000003,1765.0,2226.0,7157.0
3829.762,255.52200000000002,3829.762,6107.0,8003.0,13129.0
2186.614,176.584,2186.614,1634.0,2900.0,13085.0
3149.928,187.158,3149.928,2058.0,5191.0,9713.0
